ID1,ID,High-Leverage WPA,WPA per High-Leverage PA,Streakiness Score,Hard-Hit Efficiency,Speed Score,Flags
12,abreujo02,3.317,0.005142636,0.915831351,0.116471399,0.060078724,1
17,acunaro01,3.455,0.017538071,0.95428605,0.125329815,0.092403628,1
20,adamewi01,-0.653,-0.002633065,0.884808095,0.096602265,0.059388122,1
29,adamsma01,-1.285,-0.002881166,0.78385031,0.104915324,0.053557766,1
39,adelljo01,-0.209,-0.005805556,0.843098777,0.070866142,0.047794118,1
43,adriaeh01,-1.567,-0.007874372,0.713057313,0.080888184,0.068579426,1
50,aguilje01,0.321,0.00093314,0.822822351,0.101685393,0.043222004,1
53,ahmedni01,-3.278,-0.007110629,0.818538217,0.08689082,0.069334253,1
58,akiyash01,-0.905,-0.015877193,0.705215071,0.047318612,0.06557377,1
59,alberha01,-1.091,-0.006234286,0.85840166,0.072041166,0.064332248,1
60,albieoz01,-2.166,-0.007443299,0.936959335,0.112349532,0.090983607,1
63,alcansa01,-0.183,-0.0183,0.213266991,0.015625,0.014285714,1
64,alcanse01,-0.759,-0.0115,0.633535139,0.066390041,0.04676259,1
76,alfarjo01,-1.658,-0.005737024,0.844089106,0.075427683,0.053468208,1
79,alforan01,1.231,0.031564103,0.665698744,0.078703704,0.072033898,1
82,allenau01,0.528,0.044,0.598629162,0.067307692,0.045045045,1
90,allengr01,-0.434,-0.003981651,0.745952956,0.069023569,0.103603604,1
102,almonab01,-2.996,-0.014334928,0.763224137,0.089376054,0.081447964,1
106,almoral01,-3.715,-0.01535124,0.813153301,0.076802508,0.054014599,1
110,alonspe01,-1.254,-0.003955836,0.904322772,0.127379209,0.04652645,1
122,altuvjo01,0.535,0.000548156,0.964289231,0.092246452,0.099275134,1
124,alvared01,-0.799,-0.027551724,0.694517727,0.069306931,0.07826087,1
130,alvaryo01,-0.746,-0.004907895,0.931907072,0.143356643,0.06454918,1
149,anderbr04,-0.531,-0.048272727,0.350492128,0.026086957,0.02189781,1
150,anderbr06,0.657,0.003236453,0.83708575,0.093231162,0.061304837,1
151,anderch01,-1.232,-0.034222222,0.320631928,0.007272727,0.006410256,1
166,anderti01,-4.315,-0.011149871,0.922785935,0.09116911,0.086941698,1
167,anderty01,-0.85,-0.053125,0.365977275,0.012738854,0,1
175,andruel01,-3.554,-0.003630235,0.89112794,0.066588955,0.091207349,1
177,andujmi01,-1.129,-0.007283871,0.88142856,0.106761566,0.066292135,1
186,aquinar01,-0.458,-0.006106667,0.696742432,0.110070258,0.053497942,1
187,arauzjo01,-0.046,-0.001210526,0.829491698,0.065693431,0.032258065,1
193,arciaor01,-0.258,-0.000931408,0.823627292,0.068219634,0.059877175,1
196,arenano01,-0.526,-0.000752504,0.921818706,0.126300149,0.066014201,1
210,arozara01,0.296,0.002619469,0.968468993,0.10766721,0.089615932,1
211,arraelu01,0.793,0.006663866,0.935511644,0.06812933,0.059006211,1
212,arrieja01,-1.032,-0.030352941,0.478466513,0.041884817,0.023474178,1
215,arroych01,-0.209,-0.002786667,0.78516682,0.085972851,0.051440329,1
217,arteahu01,-0.316,-0.015047619,0.590869907,0.032,0.035971223,1
230,astudwi01,-1.343,-0.017906667,0.850376593,0.07495069,0.04315197,1
250,avilaal01,-0.582,-0.001044883,0.764162967,0.087908497,0.047278725,1
265,baddoak01,0.581,0.008671642,0.821567621,0.0968523,0.097613883,1
266,baderha01,0.07,0.000295359,0.80199436,0.093457944,0.077877326,1
269,baezja01,-2.918,-0.005883065,0.884750592,0.107894737,0.079877112,1
331,barneau01,-2.564,-0.013354167,0.690819885,0.074718526,0.056768559,1
342,barnhtu01,-3.859,-0.008425764,0.786959175,0.07593819,0.049590004,1
360,bartjo01,-0.353,-0.0706,0.722776037,0.064220183,0.05982906,1
382,bauerja01,-0.413,-0.002473054,0.78976948,0.076765609,0.055950266,1
404,beatyma01,0.995,0.011306818,0.753370529,0.087475149,0.059352518,1
439,bellico01,0.406,0.001124654,0.815817043,0.120584079,0.070254725,1
444,belljo02,-3.029,-0.006444681,0.827568554,0.10675563,0.053280174,1
449,beltbr01,1.23,0.001408935,0.879872671,0.111218569,0.070905668,1
453,bemboan01,-0.127,-0.009071429,0.621633277,0.046511628,0.013888889,1
463,beninan01,-0.872,-0.002264935,0.965768659,0.098283262,0.084027252,1
511,bertijo01,-0.387,-0.003071429,0.803577467,0.072115385,0.094182825,1
520,bettsmo01,1.098,0.001609971,0.952918999,0.122170782,0.099887006,1
527,bichebo01,2.623,0.023419643,0.980770456,0.108446298,0.089320388,1
534,biggica01,0.634,0.004731343,0.863097722,0.093446602,0.069767442,1
553,blackch02,0.408,0.00069506,0.952299324,0.105034183,0.084332834,1
576,blandal01,-0.992,-0.021565217,0.555926709,0.047008547,0.035842294,1
613,bogaexa01,3.168,0.004010127,0.931997974,0.099602525,0.073770492,1
620,bohmal01,0.956,0.011247059,0.878637147,0.068518519,0.051926298,1
642,bonifjo01,-2.127,-0.018991071,0.828970025,0.085481682,0.05006105,1
678,boteda01,-2.84,-0.015519126,0.733857791,0.084163898,0.052023121,1
710,bradlbo01,-0.954,-0.019875,0.741552705,0.110344828,0.045731707,1
711,bradlja02,-6.218,-0.009885533,0.774435042,0.093122337,0.072526287,1
731,brantmi02,2.494,0.002837315,0.917065258,0.090719302,0.082545142,1
732,brantro01,-1.869,-0.02225,0.786461982,0.065693431,0.046357616,1
747,bregmal01,0.849,0.002358333,0.834511736,0.123857024,0.076650106,1
776,brinsle01,-3.999,-0.018686916,0.735640597,0.068599034,0.04950495,1
795,brossmi01,0.648,0.01322449,0.730139046,0.10326087,0.06601467,1
837,brownse01,-0.294,-0.003266667,0.768226192,0.121883657,0.073417722,1
845,bruceja01,-6.603,-0.005443528,0.841471764,0.111167002,0.061577838,1
861,bryankr01,-0.668,-0.001194991,0.891928944,0.118649224,0.069567483,1
875,buehlwa01,-0.27,-0.038571429,0.456899348,0.01754386,0.01025641,1
886,bumgama01,-1.82,-0.02091954,0.526362124,0.060031596,0.025991792,1
939,buterdr01,-2.341,-0.013852071,0.676369035,0.062079282,0.043448744,1
950,buxtoby01,-3.02,-0.011268657,0.830692145,0.115789474,0.105802048,1
964,cabreas01,-5.339,-0.004578902,0.908655351,0.094089264,0.070260776,1
969,cabremi01,6.1,0.003763109,0.954930135,0.115948052,0.059401437,1
976,cahiltr01,-1.363,-0.045433333,0.415099151,0.020942408,0.018518519,1
979,cainlo01,-1.674,-0.002571429,0.926611481,0.079155673,0.093654933,1
988,calhoko01,2.017,0.003820076,0.874857516,0.092749167,0.05284738,1
989,calhowi01,-2.175,-0.018277311,0.786252175,0.083541147,0.041189931,1
995,camarjo01,0.365,0.00181592,0.782812765,0.098788444,0.063086104,1
997,camerda01,0.395,0.008586957,0.716829436,0.075,0.086206897,1
1009,campber01,-1.486,-0.016886364,0.696353246,0.055679287,0.052224371,1
1020,candeje01,-2.591,-0.007079235,0.87484581,0.097491448,0.062719518,1
1025,canhama01,-0.141,-0.000355164,0.787082143,0.097663551,0.059791332,1
1035,caratvi01,-2.58,-0.015542169,0.746162598,0.064622125,0.038722168,1
1048,carlsdy01,-1.447,-0.015728261,0.870066023,0.098159509,0.062330623,1
1058,carpema01,-0.498,-0.000687845,0.832750069,0.109925051,0.068133971,1
1081,casalcu01,-2.127,-0.011816667,0.750184832,0.09214355,0.046531303,1
1096,casteni01,-3.215,-0.005543103,0.895922415,0.117060112,0.073105298,1
1105,castilu02,-0.872,-0.032296296,0.449458974,0.020100503,0.01793722,1
1118,castrha01,0.841,0.00651938,0.873804652,0.054945055,0.049222798,1
1119,castrja01,-3.246,-0.006479042,0.772053474,0.092662763,0.054054054,1
1122,castrst01,-5.271,-0.00502,0.924282457,0.080839297,0.068095455,1
1123,castrwi01,-2.303,-0.019683761,0.801317833,0.07788162,0.06,1
1130,caveja01,-0.353,-0.002654135,0.76164631,0.093667546,0.054892601,1
1146,chacijh01,-0.995,-0.028428571,0.486304854,0.027700831,0.022167488,1
1163,changyu01,-0.135,-0.003461538,0.720940801,0.093457944,0.060344828,1
1169,chapmma01,0.063,0.000171196,0.868955895,0.120516499,0.061190277,1
1180,chatwty01,0.035,0.001166667,0.571692693,0.029268293,0.024793388,1
1185,chavimi01,-1.294,-0.012686275,0.844559768,0.084690554,0.048192771,1
1195,chiriro01,1.095,0.002943548,0.7794966,0.104199067,0.050961109,1
1197,chishja01,-1.208,-0.011615385,0.843870006,0.088461538,0.089630931,1
1201,choiji01,1.28,0.006497462,0.772109884,0.107497742,0.056704981,1
1257,clemeer01,-0.665,-0.021451613,0.816679207,0.05785124,0.030075188,1
1320,colliza01,-0.157,-0.002907407,0.6786755,0.084175084,0.054131054,1
1339,confomi01,-0.843,-0.001692771,0.833072281,0.108584869,0.054697987,1
1362,contrwi01,-5.228,-0.012046083,0.836012286,0.1031477,0.057335582,1
1363,contrwi02,0.175,0.005,0.923789355,0.080924855,0.030769231,1
1380,coopega03,0.903,0.007401639,0.901345666,0.092171717,0.049605411,1
1390,corbipa01,-1.321,-0.027520833,0.471185529,0.029268293,0.025531915,1
1392,cordefr02,-0.032,-0.000711111,0.773348014,0.085158151,0.068736142,1
1404,correca01,-1.182,-0.002184843,0.897767532,0.107294618,0.062984797,1
1453,crawfbr01,-2.356,-0.002316618,0.852378026,0.089048106,0.063736264,1
1456,crawfjp01,2.088,0.011664804,0.841468436,0.078228782,0.066233766,1
1471,croncj01,-4.663,-0.010181223,0.888334188,0.108212901,0.054580274,1
1472,croneja01,-1.521,-0.013460177,0.857260864,0.112313938,0.077844311,1
1496,cruzne02,1.739,0.001385657,0.904931722,0.117800289,0.057386584,1
1504,cuetojo01,-2.451,-0.028172414,0.363247437,0.001834862,0.003053435,1
1507,culbech01,-1.619,-0.007975369,0.705530134,0.083029197,0.066554339,1
1539,dahlda01,-1.396,-0.006945274,0.850672248,0.104986877,0.076612903,1
1541,dalbebo01,-0.208,-0.00214433,0.842242754,0.124748491,0.056880734,1
1562,darnatr01,-1.921,-0.004826633,0.826133379,0.090688652,0.048394193,1
1564,darviyu01,-0.683,-0.052538462,0.416080464,0.032894737,0.024242424,1
1582,davieza02,-0.368,-0.023,0.411477197,0.018604651,0.015267176,1
1604,davisjd01,-0.118,-0.000559242,0.807143588,0.093220339,0.051210428,1
1608,davisjo05,-0.173,-0.005580645,0.56341884,0.040540541,0.05019305,1
1609,daviskh01,0.736,0.001228715,0.815678275,0.116087213,0.050210305,1
1624,dazayo01,-0.137,-0.002107692,0.75298597,0.045226131,0.043577982,1
1626,deanau01,-1.338,-0.01784,0.775422871,0.098461538,0.061797753,1
1641,degroja01,-1.167,-0.030710526,0.617934312,0.031331593,0.023640662,1
1648,dejonpa01,-3.599,-0.013280443,0.812469931,0.101851852,0.054302807,1
1650,delacbr01,0.388,0.011411765,0.959398342,0.070351759,0.0456621,1
1687,desclan01,-1.052,-0.038962963,0.363502251,0.015564202,0.010600707,1
1690,deshide02,-0.406,-0.001598425,0.816888567,0.065098468,0.097918638,1
1695,detwiro01,-0.412,-0.037454545,0.250147063,0,0,1
1697,deverra01,-0.689,-0.001887671,0.939806379,0.122782446,0.07337884,1
1702,diazal02,-2.062,-0.007061644,0.871258466,0.103345281,0.067464635,1
1706,diazel01,-3.558,-0.01494958,0.796102047,0.081385281,0.049245433,1
1707,diazis01,-0.984,-0.011181818,0.691493896,0.056947608,0.033932136,1
1708,diazle01,-0.96,-0.022325581,0.642120857,0.093167702,0.041420118,1
1714,diazya01,-3.28,-0.01470852,0.925157364,0.079061685,0.049811321,1
1715,dickeal01,-0.957,-0.007088889,0.800317282,0.110471807,0.066321244,1
1718,dickeco01,-4.761,-0.009138196,0.932093358,0.115834874,0.079678991,1
1732,difowi01,0.017,9.23913E-05,0.718726046,0.058823529,0.056923077,1
1764,donaljo02,5.291,0.007494334,0.905192999,0.118063485,0.059363406,1
1788,doziehu01,-2.766,-0.013969697,0.801644157,0.103938025,0.066705336,1
1808,drurybr01,-1.268,-0.004577617,0.815661393,0.098928796,0.06323185,1
1812,dubonma01,-0.817,-0.011191781,0.789265296,0.073059361,0.052631579,1
1820,duffyma01,0.425,0.001158038,0.922047074,0.064041995,0.064500717,1
1824,duggast01,-1.923,-0.016577586,0.82183752,0.086647727,0.079634465,1
1843,duranja01,-0.076,-0.006333333,0.745128052,0.065420561,0.0625,1
1854,duvalad01,-0.249,-0.000554566,0.76155976,0.114377769,0.055412844,1
1864,dysonja01,-2.429,-0.005362031,0.777854851,0.056506168,0.124955877,1
1873,eatonad02,0.606,0.001113971,0.925562136,0.081128235,0.076726343,1
1879,edmanto01,1.163,0.007503226,0.847010836,0.087959009,0.097079716,1
1890,eflinza01,-0.88,-0.031428571,0.38711983,0.023952096,0.016304348,1
1898,eickhje01,-0.4,-0.033333333,0.447947417,0.031746032,0.028571429,1
1933,engelad01,-2.476,-0.012632653,0.78960292,0.077054795,0.075,1
1942,eovalna01,-0.944,-0.039333333,0.319870872,0,0,1
1955,escobal02,-10.144,-0.010164329,0.844540485,0.061500178,0.078664684,1
1956,escobed01,-4.224,-0.006380665,0.875783546,0.099795292,0.063934426,1
1961,espinsa01,-0.974,-0.029515152,0.837922929,0.070921986,0.076923077,1
1972,estrath01,-1.054,-0.028486486,0.816355486,0.077253219,0.04743083,1
1985,evansph01,-0.678,-0.017842105,0.696254007,0.048859935,0.031161473,1
2013,farmeky01,0.147,0.00115748,0.722336873,0.078239609,0.051511758,1
2085,fishede01,-1.124,-0.018129032,0.657721218,0.085365854,0.057939914,1
2101,flaheja01,-0.193,-0.021444444,0.427958228,0.032520325,0.026666667,1
2109,fletcda02,0.18,0.000803571,0.912248666,0.063631057,0.067385445,1
2118,florewi01,-2.691,-0.005058271,0.871750273,0.092715232,0.050933786,1
2130,foltymi01,-0.848,-0.036869565,0.29772029,0.014925373,0.013215859,1
2140,fordmi01,-0.517,-0.013972973,0.652594576,0.101083032,0.034482759,1
2160,fowlede01,4.211,0.005179582,0.859351948,0.091666667,0.081667231,1
2162,fowledu01,-0.857,-0.031740741,0.754255284,0.051502146,0.052208835,1
2172,fraleja01,-0.341,-0.004736111,0.683082726,0.071428571,0.068656716,1
2180,francma02,-1.298,-0.002665298,0.870585793,0.092920354,0.048979592,1
2184,francty01,0.096,0.000588957,0.850612086,0.090401786,0.051689861,1
2185,francwa01,0.191,0.003237288,0.936625065,0.106761566,0.081168831,1
2192,fraziad01,3.68,0.009246231,0.924251766,0.085067873,0.072451903,1
2193,frazicl01,0.121,0.000870504,0.834412228,0.106082037,0.065675341,1
2196,frazito01,-4.155,-0.00499399,0.819184473,0.101320583,0.060618307,1
2200,freelky01,-0.464,-0.020173913,0.429675649,0.028901734,0.02020202,1
2203,freemfr01,8.529,0.008452924,0.930240753,0.114964453,0.066816817,1
2205,freemmi01,-1.36,-0.02125,0.649356384,0.053370787,0.038834951,1
2226,friedma01,-0.007,-0.000538462,0.528750559,0.055555556,0.046979866,1
2235,fuentjo01,-0.576,-0.006697674,0.790338357,0.075471698,0.0496614,1
2264,gallaca01,-0.189,-0.004395349,0.705562466,0.076719577,0.052132701,1
2272,gallojo01,-2.37,-0.006045918,0.745094524,0.122144985,0.047063723,1
2273,galvifr01,-5.132,-0.007238364,0.849974196,0.078296353,0.060169891,1
2276,gamelbe01,0.394,0.001475655,0.827462046,0.082963901,0.06505889,1
2288,garciad02,0.192,0.001586777,0.822651912,0.099337748,0.069659443,1
2289,garciar01,0.344,0.013230769,0.685833044,0.062176166,0.014634146,1
2290,garciav01,2.358,0.003311798,0.880752151,0.082702388,0.053881035,1
2298,garcijo02,-0.708,-0.04425,0.661758106,0.042735043,0.056451613,1
2301,garcile02,-2.372,-0.007530159,0.842614098,0.064162754,0.069477719,1
2302,garcilu04,-1.903,-0.0173,0.849145453,0.091891892,0.069948187,1
2306,garciro02,-0.456,-0.013818182,0.775207352,0.073033708,0.035532995,1
2311,gardnbr01,-1.368,-0.00151495,0.858585043,0.080704201,0.088297551,1
2319,garliky01,-0.127,-0.003432432,0.683248625,0.124260355,0.076502732,1
2321,garnedu01,0.043,0.000728814,0.689162634,0.098173516,0.056565657,1
2329,garvemi01,-1.945,-0.010865922,0.885692493,0.118336887,0.055140187,1
2341,gausmke01,0.027,0.003,0.329239859,0,0,1
2407,gimenan01,-0.313,-0.008942857,0.663405716,0.075163399,0.093567251,1
2430,godleza01,-0.534,-0.033375,0.31579758,0,0,1
2437,goldspa01,4.223,0.004681818,0.910295942,0.11982855,0.07984127,1
2440,gomesya01,-2.793,-0.00483218,0.820391063,0.094145043,0.052229688,1
2460,gonzaer01,-0.262,-0.001912409,0.765395114,0.068322981,0.063305979,1
2468,gonzama01,-2.178,-0.003704082,0.850125925,0.085278276,0.060952381,1
2480,goodrni01,-2.366,-0.00977686,0.845526739,0.095345345,0.086810229,1
2482,goodwbr01,-1.922,-0.007280303,0.773840642,0.109324759,0.078136201,1
2493,gordoni01,0.202,0.005315789,0.896515149,0.07,0.092592593,1
2504,gosseph01,-1.715,-0.012427536,0.705243789,0.065764023,0.055258467,1
2508,gourryu01,-2.691,-0.006422434,0.900231395,0.102758896,0.068357222,1
2521,grandya01,-3.257,-0.005253226,0.803420561,0.102381689,0.044030044,1
